ph,do,sat,temp,conductivity,classification
7,9,77,12,843,0
7,9,77,12,791,0
8,8,77,19,1031,1
8,8,77,20,980,0
8,7,77,24,947,0
8,7,77,25,872,0
7,7,78,18,783,0
7,6,77,26,597,2
7,2,31,27,820,0
7,3,37,18,804,0
7,5,56,22,601,2
7,7,75,24,621,2
7,6,65,16,930,0
8,8,90,19,774,0
7,6,81,24,739,2
7,5,60,16,642,2
8,5,64,20,1378,1
7,7,93,25,820,0
7,7,81,21,831,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,20,902,0
7,7,77,21,851,0
7,7,77,18,618,2
7,7,77,17,532,2
7,6,64,12,858,0
7,8,82,12,641,2
7,6,64,12,768,0
7,6,62,10,934,0
7,7,71,10,700,2
7,8,78,12,868,0
7,8,87,14,918,0
7,8,85,15,824,0
8,9,97,16,734,2
8,8,92,16,629,2
8,11,131,18,813,0
7,8,86,15,1433,1
7,11,118,17,714,2
7,7,77,17,818,0
7,8,90,16,851,0
8,8,77,19,992,0
8,7,77,21,930,0
7,6,61,13,812,0
7,8,85,14,623,2
7,6,62,13,789,0
7,7,64,11,869,0
7,7,68,13,634,2
7,8,87,15,266,2
7,8,85,15,801,0
7,8,88,14,728,2
8,9,91,15,664,2
8,9,91,15,528,2
8,9,108,20,819,0
7,7,77,17,818,0
7,7,77,16,1112,1
7,9,101,16,704,2
7,7,76,16,758,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,74,12,846,0
8,7,81,15,724,2
7,6,64,13,929,0
7,4,42,12,931,0
7,6,67,14,699,2
7,8,89,15,913,0
7,9,86,12,913,0
7,9,86,12,913,0
8,8,89,14,823,0
8,8,93,18,788,0
8,8,91,16,651,2
8,8,102,23,858,0
7,8,81,16,1480,1
8,10,109,18,799,0
8,7,80,16,885,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,6,66,13,854,0
7,7,73,15,757,0
7,5,51,15,955,0
7,4,44,12,911,0
7,6,67,13,677,2
7,7,77,17,896,0
7,7,75,13,836,0
8,8,80,14,821,0
8,7,74,15,776,0
8,7,82,16,640,2
8,9,114,22,894,0
8,7,79,15,1082,1
8,7,79,15,1082,1
8,7,80,16,778,0
8,7,75,17,864,0
8,8,77,20,1068,1
8,8,77,21,973,0
7,7,75,15,845,0
7,6,76,20,755,0
7,5,57,19,1042,1
7,4,43,16,899,0
7,5,58,20,645,2
7,7,84,22,794,0
7,8,85,14,910,0
8,8,87,16,785,0
8,7,80,19,764,0
8,7,89,21,614,2
8,9,115,26,905,0
7,5,68,22,735,2
7,5,68,22,735,2
7,7,83,21,715,2
7,6,81,23,843,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,72,15,840,0
8,7,81,20,783,0
7,5,62,18,1067,1
7,5,54,15,910,0
7,5,64,19,652,2
7,6,80,21,909,0
7,8,87,14,913,0
8,8,88,16,797,0
8,8,88,16,797,0
8,7,82,20,803,0
8,7,90,21,609,2
7,8,104,24,756,0
7,4,56,21,1103,1
7,7,86,21,810,0
8,7,86,22,1028,1
8,9,77,19,1023,1
8,9,77,20,965,0
7,7,72,14,842,0
7,7,72,14,842,0
8,7,83,19,830,0
7,6,71,18,1149,1
7,4,47,16,915,0
7,5,64,19,683,2
7,7,83,20,947,0
7,8,85,13,912,0
8,8,89,15,776,0
8,7,79,18,771,0
8,7,87,20,608,2
7,5,52,16,715,2
7,2,28,20,814,0
7,6,72,19,699,2
8,7,86,20,975,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,75,14,849,0
8,7,78,19,770,0
7,6,70,16,1061,1
7,4,49,14,932,0
7,6,67,17,689,2
7,7,80,19,894,0
7,8,85,13,915,0
7,8,85,13,915,0
8,8,87,15,781,0
8,7,82,17,796,0
8,8,89,19,621,2
7,7,84,16,715,2
7,4,45,19,1487,1
7,7,84,18,838,0
8,7,84,19,958,0
7,7,77,17,818,0
7,7,77,17,818,0
7,10,102,14,818,0
8,9,99,15,818,0
7,7,77,17,818,0
7,8,77,14,818,0
7,8,91,18,818,0
8,9,105,17,818,0
7,8,88,13,818,0
8,9,92,14,818,0
8,9,87,10,818,0
8,9,86,10,818,0
8,9,95,14,818,0
8,8,88,15,818,0
7,8,78,11,818,0
7,7,73,11,818,0
8,8,81,13,818,0
7,8,80,13,818,0
8,9,89,12,818,0
7,7,73,14,818,0
7,6,63,11,818,0
7,8,86,13,818,0
8,9,98,15,818,0
7,8,84,13,818,0
8,9,94,14,818,0
8,8,87,14,818,0
8,9,93,15,818,0
8,10,119,18,818,0
7,8,78,13,818,0
8,9,97,16,818,0
8,9,94,15,818,0
7,10,97,12,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,7,77,17,818,0
7,6,64,17,741,2
7,5,65,22,736,2
7,3,45,23,833,0
7,4,51,19,716,2
7,5,66,23,614,2
8,7,86,23,789,0
7,7,83,20,947,0
7,7,84,19,771,0
7,6,70,21,735,2
8,6,81,22,590,2
7,5,65,24,830,0
7,3,44,20,1124,1
7,6,73,21,760,0
7,6,73,21,742,2
7,6,72,21,740,2
7,3,37,20,405,2
7,6,73,20,605,2
7,5,70,24,680,2
7,2,34,25,797,0
7,7,82,20,825,0
7,6,82,27,644,2
7,7,94,25,792,0
7,7,80,16,860,0
7,7,83,17,778,0
7,7,82,20,696,2
8,7,86,21,594,2
7,4,48,23,660,2
7,4,57,23,659,2
7,3,36,18,1249,1
7,6,71,19,741,2
7,6,75,20,748,0
7,3,38,19,394,2
7,6,65,16,818,0
7,7,82,19,754,0
7,4,57,21,912,0
7,7,73,15,838,0
7,8,101,24,644,2
8,7,96,23,851,0
7,7,78,17,830,0
7,8,87,17,758,0
8,7,83,16,731,2
8,7,86,19,594,2
8,7,86,19,594,2
8,9,109,21,705,2
7,3,40,15,1359,1
7,7,75,16,760,0
