pH,DO,Saturation,Temp,Conductivity,Drainage_Area,Nitrate_Plus_Nitrite,Classification
46,72,47,11,47,11,8,0
54,74,47,9,42,11,5,0
69,66,47,54,62,11,14,0
69,63,47,57,57,11,11,0
84,51,47,84,55,11,10,0
84,49,47,85,49,11,7,0
42,51,48,44,42,3,16,0
39,38,47,94,27,5,0,2
3,0,3,100,45,1,0,2
0,10,9,47,44,0,0,2
14,27,27,67,27,10,1,2
33,54,45,84,28,7,0,2
1,40,36,35,54,3,0,2
65,61,60,52,41,3,0,0
48,45,51,84,38,3,1,0
35,28,31,36,30,2,6,2
66,28,34,56,91,2,1,2
38,51,62,90,45,14,1,0
52,49,52,62,46,100,7,1
50,51,47,43,45,5,6,0
50,51,47,43,45,10,6,0
50,51,47,43,45,3,6,0
50,51,47,43,45,3,6,0
50,51,47,43,45,3,6,0
50,51,47,43,45,1,6,0
50,51,47,43,45,14,6,0
50,51,47,43,45,100,6,1
54,57,47,60,52,11,11,0
46,53,47,62,47,11,6,0
39,51,47,43,28,11,3,0
39,50,47,42,21,11,4,0
12,44,35,12,48,3,5,2
48,65,52,9,30,5,0,0
15,43,34,13,41,1,0,2
23,45,33,1,54,0,0,2
31,55,41,0,35,10,1,0
46,59,48,13,49,7,0,0
28,65,57,25,53,3,0,0
48,61,55,28,45,3,0,0
63,71,67,36,38,3,0,0
75,67,62,33,28,1,0,0
86,100,100,48,44,2,2,0
41,62,56,28,95,2,5,0
57,91,87,38,36,14,0,0
50,51,47,43,45,14,0,0
57,64,59,35,47,100,5,1
61,62,47,50,59,11,11,0
61,57,47,66,54,11,8,0
18,41,32,16,44,3,7,2
48,66,56,22,28,5,0,0
19,43,33,18,42,1,0,2
17,48,35,4,49,0,0,2
30,49,38,14,30,10,0,2
54,66,57,28,0,7,0,0
36,67,55,31,43,3,0,0
60,69,57,25,37,3,0,0
69,70,60,27,32,3,0,0
69,69,61,28,21,1,0,0
71,77,77,55,45,2,1,0
50,51,47,43,45,2,1,0
40,54,48,35,69,2,5,0
51,78,70,34,35,14,1,0
54,52,46,36,40,100,8,1
50,51,47,43,45,11,6,0
50,51,47,43,45,11,6,0
38,56,45,13,47,3,3,0
61,57,51,30,37,5,0,0
32,42,34,19,54,1,0,2
21,20,13,11,54,0,0,2
45,46,38,20,35,10,0,0
54,69,59,31,52,7,0,0
47,70,56,11,52,3,0,0
47,70,56,11,52,3,0,0
69,68,59,20,45,3,0,0
74,65,63,44,42,3,0,0
81,66,61,34,31,1,0,0
65,67,72,76,48,2,2,0
47,64,51,36,99,2,2,0
64,79,78,44,43,14,1,0
68,55,51,34,50,100,6,1
50,51,47,43,45,11,6,0
50,51,47,43,45,11,6,0
50,51,47,43,45,5,6,0
50,51,47,43,45,10,6,0
50,51,47,43,45,3,6,0
50,51,47,43,45,3,6,0
50,51,47,43,45,3,6,0
50,51,47,43,45,1,6,0
50,51,47,43,45,14,6,0
50,51,47,43,45,100,6,1
33,46,37,15,48,3,7,2
60,49,44,31,40,5,0,0
30,27,23,27,56,1,0,2
21,23,16,12,52,0,0,2
48,46,38,19,33,10,0,0
53,51,48,38,51,7,0,0
27,55,45,15,46,3,0,0
75,59,51,22,45,3,0,0
73,50,44,27,41,3,0,0
86,57,52,33,30,1,0,0
98,75,83,70,51,2,0,0
75,55,49,30,66,2,2,0
75,55,49,30,66,2,2,0
61,55,51,35,41,14,1,0
74,48,46,41,48,100,5,1
65,65,47,57,65,11,15,0
64,60,47,66,57,11,9,0
24,52,45,26,47,3,11,2
60,44,46,59,40,5,0,0
30,27,28,55,63,1,0,2
15,18,15,33,51,0,0,2
37,28,28,59,31,10,0,2
47,50,54,67,43,7,0,0
36,63,55,22,52,3,0,0
65,61,57,37,42,3,0,0
69,49,50,54,40,3,1,0
81,55,59,65,28,1,0,0
71,69,84,94,52,2,0,0
34,35,38,70,38,2,5,2
34,35,38,70,38,2,4,2
47,49,53,66,36,14,1,0
57,45,51,76,47,100,7,1
50,51,47,43,45,11,6,0
50,51,47,43,45,11,6,0
25,49,42,26,47,3,5,2
64,49,51,59,42,5,1,0
31,33,33,49,65,1,0,2
15,28,25,31,52,0,0,2
37,36,35,50,31,10,0,2
46,47,50,61,52,7,0,0
36,65,57,23,52,3,0,0
66,62,57,36,43,3,0,0
66,62,57,36,43,3,0,0
72,50,52,55,43,3,0,0
80,55,60,66,28,1,0,0
60,63,74,79,40,2,2,0
28,24,27,65,68,2,1,2
59,53,56,62,44,14,1,0
62,50,56,71,62,100,18,1
75,76,47,55,61,11,15,0
75,72,47,59,57,11,11,0
27,49,42,24,47,3,4,2
27,49,42,24,47,3,4,2
68,52,53,53,46,5,1,0
38,43,41,44,72,1,0,2
17,22,18,32,53,0,0,2
45,35,35,51,34,10,0,2
51,52,53,56,55,7,0,0
37,64,55,19,52,3,0,0
67,64,59,31,41,3,0,0
72,49,49,48,41,3,0,0
83,55,57,56,28,1,0,0
13,27,23,32,36,2,8,2
27,0,0,60,44,2,1,2
50,42,42,49,35,14,2,0
75,54,56,60,57,100,12,1
50,51,47,43,45,11,6,0
50,51,47,43,45,11,6,0
30,53,46,22,47,3,8,0
64,48,48,50,41,5,0,0
36,43,40,37,65,1,0,2
20,25,20,24,54,0,0,2
46,41,38,38,34,10,0,2
55,50,51,52,51,7,0,0
39,66,56,17,53,3,0,0
39,66,56,17,53,3,0,0
68,64,57,28,42,3,0,0
73,55,52,40,43,3,0,0
86,57,59,52,28,1,0,0
27,57,54,37,36,2,7,0
48,17,17,50,100,2,1,2
60,56,54,44,46,14,1,0
76,53,54,54,56,100,11,1
50,51,47,43,45,11,6,0
50,51,47,43,45,11,6,0
46,82,72,22,45,2,40,0
65,76,68,28,45,4,25,0
45,50,47,41,45,1,0,0
30,61,47,20,45,0,7,0
56,63,61,44,45,10,6,0
67,77,74,41,45,7,0,0
48,68,57,19,45,3,6,0
75,71,62,22,45,3,2,0
61,74,57,1,45,3,2,0
63,73,56,1,45,3,1,0
87,73,65,25,45,1,2,0
65,65,57,27,45,2,5,0
48,62,48,5,45,2,25,0
49,56,43,4,45,13,3,0
75,62,52,16,45,100,38,1
32,60,50,16,45,2,64,0
62,72,59,11,45,4,25,0
44,51,44,22,45,1,0,0
34,44,34,5,45,0,0,2
54,66,56,18,45,10,1,0
69,74,68,30,45,7,0,0
49,64,54,17,45,3,0,0
67,73,64,23,45,3,0,0
69,65,57,22,45,3,0,0
79,70,62,28,45,1,0,0
100,89,88,47,45,2,6,0
48,57,48,14,45,2,27,0
72,71,66,35,45,13,1,0
73,71,64,27,45,100,25,1
33,81,67,12,45,11,51,0
50,51,47,43,45,5,6,0
50,51,47,43,45,10,6,0
50,51,47,43,45,3,6,0
50,51,47,43,45,3,6,0
50,51,47,43,45,3,6,0
50,51,47,43,45,1,6,0
50,51,47,43,45,14,6,0
50,51,47,43,45,100,6,1
14,37,34,40,38,2,51,2
39,32,36,71,38,4,6,2
18,14,17,75,46,1,0,2
15,22,22,55,36,0,1,2
36,32,37,75,28,10,1,2
63,49,56,77,42,7,0,0
51,52,53,56,55,3,0,0
54,53,54,55,41,3,1,0
57,37,41,67,38,3,2,0
64,46,51,72,26,1,0,0
39,30,36,81,46,2,1,2
18,14,15,60,70,2,27,2
39,40,43,64,40,13,0,2
49,40,43,64,38,100,38,1
49,39,42,63,38,100,38,1
3,8,8,61,11,11,2,2
20,42,44,57,27,2,64,2
42,35,41,79,33,4,6,2
9,3,6,87,43,1,0,2
